NGO Name,Sector,Year of Establishment,Founder(s),Mission & Vision,Key Programs/Projects,Area of Operation,Official Website & Social Media Links,Impact Statistics,Contact Information,Funding Sources
Pratham Education Foundation,Education,1995,"Dr. Madhav Chavan, Farida Lambay","Mission: Every Child in School and Learning Well. Vision: To make schools and communities future-ready.","Early Years, Elementary Education (TaRL), ASER, Second Chance Program, Youth & Skilling.",Over 26 states in India,Website: pratham.org,"Reaches millions of children, youth, and women annually","2, 4th Floor, Yashwantrao Chavan Pratishthan, Mumbai","Individual donors, corporate partnerships, international chapters"
Akshaya Patra Foundation,Education/Hunger,2000,Sri Madhu Pandit Dasa,"Mission: To eliminate classroom hunger. Vision: No child in India shall be deprived of education because of hunger.",Mid-Day Meal Programme (PM POSHAN),Multiple states and UTs in India,Website: akshayapatra.org,"Serves over 2 million children daily; billions of cumulative meals served","infodesk@akshayapatra.org, +91 80 3014 3400 (Bengaluru HQ)","Public-Private Partnership (PPP), CSR, individual donations, government subsidies"
Goonj,Community Development,1999,"Anshu Gupta, Meenakshi Gupta","Mission: Bridge gap between urban surplus and rural needs. Vision: Create equitable relationship between city and village.","Dignity for Work, Rahat (Disaster Relief), Not Just a Piece of Cloth, School to School",23 states in India,Website: goonj.org,Transforms millions of kgs of urban surplus into rural development resources,"mail@goonj.org, 011-41401216 (New Delhi HQ)","Individual donations, corporate partnerships, social business models"
Smile Foundation,Education/Healthcare/Women Empowerment,2002,Santanu Mishra,"Mission: Empower underprivileged children, youth, and women. Vision: Civic Driven Change.","Mission Education, Smile on Wheels, Swabhiman (Women Empowerment)",25-27 states in India,Website: smilefoundationindia.org,Impacted over 2 million people annually,"161 B/4, Gulmohar House, Yusuf Sarai, New Delhi","Corporate partnerships, individual support, volunteer initiatives"
Teach For India,Education,2008,Shaheen Mistri,"Mission: End educational inequity. Vision: One day, all children will attain an excellent education.","TFI Fellowship, Alumni Movement, Firki, TFIx","Mumbai, Pune, Delhi, Chennai, Hyderabad, Ahmedabad, Bengaluru, Kolkata",Website: teachforindia.org,Thousands of Fellows; Alumni founded 150+ orgs,"Godrej One, Vikhroli (East), Mumbai","Donations, corporate partnerships, grants"
CRY (Child Rights and You),Child Rights,1979,Rippan Kapur,"Mission: Enable children to realize full potential. Vision: Build a society with dignity, justice, and equality.","Right to Development, Right to Survival, Right to Protection, Right to Participation",Across various states in India,Website: cry.org,Impacted over 4.7 million children over 4 decades,"writetous@crymail.org, +91 9115 9115 00 (Mumbai HQ)","Individual and corporate (CSR) contributions. No direct government funding."
Wildlife SOS,Animal Welfare/Conservation,1995,"Kartick Satyanarayan, Geeta Seshamani","Mission: Protect and conserve India's natural heritage. Vision: Human-wildlife coexistence.","Species Conservation, Community Empowerment (Kalandar), Conflict Mitigation",12 rescue centers across India,Website: wildlifesos.org,Ended 'dancing bear' practice in India; operates India's first elephant hospital,press@wildlifesos.org (New Delhi HQ),"Individual donations, CSR, grants"
HelpAge India,Elderly Care,1978,"Samson Daniel, Cecil Jackson Cole","Mission: Improve quality of life for disadvantaged older persons. Vision: Society for active, dignified life.","Mobile Medical Units (MMUs), Elder-Self-Help-Groups, AgeCare, National Elder Helpline",Across India,Website: helpageindia.org,Serves over 2 million senior citizens annually,"headoffice@helpageindia.org, 1800-180-1253","Individual donations, CSR, grants"
Project Nanhi Kali,Girl Child Education,1996,Anand Mahindra,"Mission: Empower underprivileged girls by supporting 10 years of schooling. Vision: Ensure girls reach full potential.","Academic Support Centres, Material Support (uniforms, bags), 21st-century skills training",Multiple states and districts in India,Website: nanhikali.org,Supported over 940,000 girls to date,"K.C. Mahindra Education Trust, Mumbai",Individual and corporate sponsorships
Snehalaya,Women & Child Welfare,1989,Dr. Girish Kulkarni,"Mission: Rescue, rights, and rehabilitative services. Vision: Life free from inequality and discrimination.","Healthcare & Rehab, Snehankur Adoption Centre, Women's Helplines, Himmatgram organic farm","Ahmednagar district, Maharashtra",Website: snehalaya.org,"Supports approx 15,000–17,000 beneficiaries annually","info@snehalaya.org, +91 0241 2778353 (Ahmednagar)","Government agencies, CSR, private donations"
